	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
A1CF	19	1087	1065	28	511	2980	1005	4837	2246	6318
A2M	6205	22375	7410	460	6517	31626	34948	60304	36127	22337
A4GALT	222	661	99	81	225	757	1114	746	513	668
AAAS	1373	1660	1307	365	1250	1647	1078	2007	1677	1440
AACS	1490	1801	1350	531	1960	2789	2662	2776	2755	2229
AADACP1	22	69	53	0	21	69	63	80	41	984
AADAT	202	347	300	32	137	156	172	187	143	104
AAED1	286	292	206	13	106	324	367	440	264	360
AAGAB	1201	1409	2250	104	1637	2944	2386	2744	2658	2860
AAK1	1045	2504	1102	56	495	2276	2754	2444	1860	1635
AAMDC	517	556	388	170	219	964	587	981	637	1148
AAMP	5930	5635	3354	1603	4696	8838	4789	8647	7882	8277
AAR2	1927	2700	1299	413	1132	2560	2026	2468	1885	2646
AARS	3860	5862	5920	999	5572	5626	4631	4805	5207	4573
AARS2	597	760	528	234	469	868	688	1509	1043	1355
AARSD1	77	180	89	16	81	116	87	145	109	104
AASDH	139	362	367	8	125	349	290	563	422	484
AASDHPPT	336	1498	1109	62	363	947	844	1285	828	1002
AASS	40	110	38	0	68	81	178	198	123	201
AATBC	54	99	49	0	78	38	35	49	48	10
AATF	2462	3751	1176	368	1926	2912	1976	2861	2291	3222
AATK	391	176	109	153	609	540	303	304	236	3371
AB019441.29	92	92	63	33	80	148	66	120	95	88
ABALON	52	106	50	11	26	18	15	19	19	38
ABAT	1035	1129	466	107	1364	1543	839	2355	1838	5635
ABCA1	414	2074	819	10	307	2167	2312	4196	1945	1034
ABCA10	6	44	31	0	8	81	70	240	96	462
ABCA11P	5	37	13	7	13	31	41	43	22	36
ABCA13	44	17	33	1	6	29	16	34	18	26
ABCA2	4183	1769	1409	622	2330	4704	2976	4726	2906	2890
ABCA3	200	480	52	54	86	754	1176	780	476	702
ABCA5	49	988	586	9	146	1836	996	2595	1415	4146
ABCA6	34	104	50	0	9	198	326	576	203	317
ABCA7	651	875	438	253	612	1022	500	1336	1232	642
ABCA8	88	292	9	14	27	1783	2293	3740	1812	1595
ABCA9	45	47	29	0	10	354	373	488	144	371
ABCB1	846	1821	949	202	307	10249	7689	6045	3493	32187
ABCB10	253	1117	1431	69	597	1610	1028	1893	1224	2212
ABCB4	21	71	54	1	17	62	90	95	90	92
ABCB6	164	116	77	40	136	104	83	106	125	164
ABCB7	553	1107	910	71	638	1164	871	1659	926	1398
ABCB8	1798	1735	930	594	1559	2024	1217	1819	1887	1908
ABCB9	164	239	168	91	147	398	177	356	378	471
ABCC1	3936	4865	1483	291	2534	2211	3300	2308	2932	1158
ABCC10	1169	2058	809	295	1385	1370	1053	1580	1471	1458
ABCC13	2	88	8	3	40	549	169	237	394	1410
ABCC2	11	137	25	10	292	21	20	43	29	3218
